,code,name,eps_x,eps_yoy,bvps,roe_x,epcf,net_profits_x,profits_yoy,distrib,report_date,roe_y,net_profit_ratio,gross_profit_rate,net_profits_y,eps_y,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,time_point
336,601969,海南矿业,-0.03,-210.71,,-1.36,,-5844.95,-211.06,,04-30,-1.37,-46.64,21.5284,-58.4495,-0.0313,125.3182,0.0671,0.2255,399.1131,0.2492,361.1557,0.0554,1624.5487,-62.4724,-211.0562,-8.6955,-7.7822,-210.7143,-8.6955,1.8375,1.4767,54.788999999999994,-680.9198,75.5464,24.4536,-1.0159,-0.0226,,-0.0926,-10.8649,2016-04-27
337,601969,海南矿业,-0.03,-210.71,,-1.36,,-5844.95,-211.06,,04-30,-1.37,-46.64,21.5284,-58.4495,-0.0313,125.3182,0.0671,0.2255,399.1131,0.2492,361.1557,0.0554,1624.5487,-62.4724,-211.0562,-8.6955,-7.7822,-210.7143,-8.6955,1.8375,1.4767,54.788999999999994,-680.9198,75.5464,24.4536,-1.0159,-0.0226,,-0.0926,-10.8649,2016-04-27
338,000778,新兴铸管,0.01,-15.75,,0.23,,3909.95,-15.19,,04-30,0.22,0.34,5.0018,39.0995,0.0107,11221.3674,3.0799,6.5234,13.7965,1.6257,55.3608,0.4885,184.2375,-14.754000000000001,-22.1912,3.7047,-1.5862,-15.748,2.6567,0.8836,0.6271,17.9384,114.2855,35.9289,64.0711,-0.0246,-0.0054,-25.5908,-0.0085,-1.0675,2016-04-27
339,000778,新兴铸管,0.01,-15.75,,0.23,,3909.95,-15.19,,04-30,0.22,0.34,5.0018,39.0995,0.0107,11221.3674,3.0799,6.5234,13.7965,1.6257,55.3608,0.4885,184.2375,-14.754000000000001,-22.1912,3.7047,-1.5862,-15.748,2.6567,0.8836,0.6271,17.9384,114.2855,35.9289,64.0711,-0.0246,-0.0054,-25.5908,-0.0085,-1.0675,2016-04-27
340,000798,中水渔业,-0.02,-271.53,,-1.59,,-750.82,-271.6,,04-30,-1.3,-7.97,5.6952,-7.5082,-0.0235,94.1207,0.2946,3.6509,24.6515,0.5393,166.88299999999998,0.2475,363.6364,-33.7726,-245.8772,-43.7695,-29.0532,-271.5328,-31.7459,1.3321,0.6644,27.6293,-352.8762,64.9517,35.0483,-0.5379,-0.061,,-0.174,-19.0871,2016-04-27
341,000798,中水渔业,-0.02,-271.53,,-1.59,,-750.82,-271.6,,04-30,-1.3,-7.97,5.6952,-7.5082,-0.0235,94.1207,0.2946,3.6509,24.6515,0.5393,166.88299999999998,0.2475,363.6364,-33.7726,-245.8772,-43.7695,-29.0532,-271.5328,-31.7459,1.3321,0.6644,27.6293,-352.8762,64.9517,35.0483,-0.5379,-0.061,,-0.174,-19.0871,2016-04-27
342,002496,辉丰股份,0.12,-20.0,,1.52,,4937.28,-7.17,,04-30,1.54,6.36,21.8596,49.3728,0.1244,775.9323,1.9559,1.3711,65.6407,0.4773,188.5607,0.2852,315.568,16.9613,-5.0746,8.5833,3.1789,-20.0,4.3713,1.2425,0.6296,24.3986,828.4087,60.0939,39.9061,-0.0037,-0.0005,-0.0561,-0.0012,-0.1334,2016-04-27
343,002496,辉丰股份,0.12,-20.0,,1.52,,4937.28,-7.17,,04-30,1.54,6.36,21.8596,49.3728,0.1244,775.9323,1.9559,1.3711,65.6407,0.4773,188.5607,0.2852,315.568,16.9613,-5.0746,8.5833,3.1789,-20.0,4.3713,1.2425,0.6296,24.3986,828.4087,60.0939,39.9061,-0.0037,-0.0005,-0.0561,-0.0012,-0.1334,2016-04-27
344,600093,易见股份,0.08,112.82,,1.66,,9370.6,642.72,,04-30,1.64,3.4,3.5732,93.706,0.0834,2748.9701,2.449,4.4868,20.0588,39.3334,2.2881,0.2622,343.2494,2798.1425,716.062,1214.1048,1405.6567,112.8205,1106.6003,2.0180000000000002,2.0056,43.3536,-138.4164,51.9413,48.0587,0.071,0.0164,1.8966,0.034,3.4099,2016-04-27
345,600093,易见股份,0.08,112.82,,1.66,,9370.6,642.72,,04-30,1.64,3.4,3.5732,93.706,0.0834,2748.9701,2.449,4.4868,20.0588,39.3334,2.2881,0.2622,343.2494,2798.1425,716.062,1214.1048,1405.6567,112.8205,1106.6003,2.0180000000000002,2.0056,43.3536,-138.4164,51.9413,48.0587,0.071,0.0164,1.8966,0.034,3.4099,2016-04-27
346,600487,亨通光电,0.09,-23.68,,2.46,,11477.88,128.8,,04-30,2.4,3.45,24.7557,114.7788,0.0924,3324.3937,2.6782,0.8648,104.0703,0.7699,116.8983,0.3158,284.9905,71.581,107.5121,18.9302,25.8591,-23.6799,15.5067,1.2064,0.8515,20.4279,305.6497,33.6485,66.3515,-0.1485,-0.0303,-3.6087,-0.0456,-5.5238,2016-04-27
347,600487,亨通光电,0.09,-23.68,,2.46,,11477.88,128.8,,04-30,2.4,3.45,24.7557,114.7788,0.0924,3324.3937,2.6782,0.8648,104.0703,0.7699,116.8983,0.3158,284.9905,71.581,107.5121,18.9302,25.8591,-23.6799,15.5067,1.2064,0.8515,20.4279,305.6497,33.6485,66.3515,-0.1485,-0.0303,-3.6087,-0.0456,-5.5238,2016-04-27
348,600487,亨通光电,0.09,-23.68,,2.46,,11477.88,128.8,,04-30,2.4,3.45,24.7557,114.7788,0.0924,3324.3937,2.6782,0.8648,104.0703,0.7699,116.8983,0.3158,284.9905,71.581,107.5121,18.9302,25.8591,-23.6799,15.5067,1.2064,0.8515,20.4279,305.6497,33.6485,66.3515,-0.1485,-0.0303,-3.6087,-0.0456,-5.5238,2016-04-27
349,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
350,600110,诺德股份,0.01,24.19,,0.47,,883.12,24.6,,04-30,0.47,2.46,23.1224,8.8312,0.0076,358.0084,0.3112,0.7408,121.4903,1.0328,87.1418,0.1274,706.4364,10.4419,49.6267,20.7256,-12.5077,24.1935,2.4652,0.8216,0.7354,38.226,119.5707,37.8807,62.1193,-1.0984,-0.0665,-39.4906,-0.107,-11.7028,2016-04-27
