,code,name,eps_x,eps_yoy,roe_x,time_point
1834,000930,中粮生化,0.35,57.85,17.18,2018-10-17
238,000932,华菱钢铁,1.82,112.95,41.72,2018-10-17
874,000933,神火股份,0.15,-67.31,4.81,2018-10-17
197,000936,华西股份,0.33,120.0,6.49,2018-10-17
3371,000937,冀中能源,0.24,0.88,4.3,2018-10-17
268,000938,紫光股份,0.8,-26.3,4.53,2018-10-17
2846,000949,新乡化纤,0.07,45.0,2.43,2018-10-17
2142,000951,中国重汽,1.09,2.83,12.74,2018-10-17
959,000952,广济药业,0.53,61.04,16.27,2018-10-17
165,000957,中通客车,0.06,-71.43,1.2,2018-10-17
2161,000958,东方能源,0.12,140.0,4.73,2018-10-17
3462,000959,首钢股份,0.4,21.46,8.56,2018-10-17
242,000965,天保基建,0.34,112.5,7.15,2018-10-17
2850,000968,蓝焰控股,0.49,40.0,14.06,2018-10-17
1171,000969,安泰科技,-0.08,-234.68,-1.79,2018-10-17
2484,000970,中科三环,0.18,-6.88,4.27,2018-10-17
124,000971,ST高升,0.02,-90.79,0.61,2018-10-17
467,000973,佛塑科技,0.04,-33.85,1.88,2018-10-17
963,000977,浪潮信息,0.29,22.75,4.99,2018-10-17
878,000978,桂林旅游,0.22,13.99,5.11,2018-10-17
2214,000980,众泰汽车,0.2,-39.39,2.44,2018-10-17
201,000981,银亿股份,0.21,16.67,4.83,2018-10-17
337,000982,*ST中绒,-0.29,36.29,-31.85,2018-10-17
1058,000988,华工科技,0.26,-10.34,4.8,2018-10-17
366,000989,九芝堂,0.38,-35.08,7.33,2018-10-17
3423,000990,诚志股份,0.52,-2.82,4.03,2018-10-17
126,000993,闽东电力,-0.18,-165.48,-3.75,2018-10-17
714,000995,*ST皇台,-0.24,-36.84,,2018-10-17
1431,000996,中国中期,0.02,-70.16,1.56,2018-10-17
3386,000997,新大陆,0.47,-20.28,9.45,2018-10-17
1116,000998,隆平高科,0.06,-51.84,1.29,2018-10-17
971,000999,华润三九,1.14,16.33,10.86,2018-10-17
1738,001696,宗申动力,0.26,31.89,7.52,2018-10-17
519,001872,招商港口,0.7,2.93,9.88,2018-10-17
202,001896,豫能控股,-0.27,-418.51,-4.92,2018-10-17
616,001965,招商公路,0.49,-1.86,6.85,2018-10-17
3169,001979,招商蛇口,1.02,117.02,11.77,2018-10-17
1580,002002,鸿达兴业,0.26,-27.01,11.09,2018-10-17
2402,002003,伟星股份,0.4,-16.67,12.52,2018-10-17
370,002004,华邦健康,0.24,4.35,4.98,2018-10-17
719,002007,华兰生物,0.82,22.7,15.05,2018-10-17
3280,002008,大族激光,1.55,9.93,20.47,2018-10-17
3249,002009,天奇股份,0.37,76.19,6.72,2018-10-17
1118,002010,传化智联,0.12,71.43,3.49,2018-10-17
3138,002011,盾安环境,0.05,-16.67,0.94,2018-10-17
2862,002012,凯恩股份,0.04,-20.0,1.52,2018-10-17
2639,002013,中航机电,0.14,7.69,5.73,2018-10-17
3437,002014,永新股份,0.3,-25.0,8.71,2018-10-17
2406,002019,亿帆医药,0.59,-25.32,10.59,2018-10-17
3236,002020,京新药业,0.47,19.52,8.94,2018-10-17
2883,002022,科华生物,0.39,7.83,9.61,2018-10-17
2315,002023,海特高新,0.06,10.12,1.38,2018-10-17
475,002024,苏宁易购,0.66,844.0,7.7,2018-10-17
981,002027,分众传媒,0.33,2.41,39.36,2018-10-17
1369,002030,达安基因,0.1,-9.09,4.51,2018-10-17
634,002031,巨轮智能,0.02,13.26,1.49,2018-10-17
1745,002033,丽江旅游,0.37,10.5,8.46,2018-10-17
2258,002034,旺能环境,0.54,440.0,6.51,2018-10-17
755,002036,联创电子,0.33,26.15,9.35,2018-10-17
3257,002037,久联发展,0.23,21.05,3.54,2018-10-17
1238,002038,双鹭药业,0.78,36.19,12.13,2018-10-17
3054,002040,南京港,0.35,73.87,5.23,2018-10-17
1852,002041,登海种业,0.01,-95.12,0.2,2018-10-17
886,002044,美年健康,0.13,44.44,6.63,2018-10-17
3059,002045,国光电器,-0.15,-165.22,-4.44,2018-10-17
1748,002049,紫光国微,0.47,35.06,7.94,2018-10-17
1589,002050,三花智控,0.48,0.0,12.4,2018-10-17
3023,002051,中工国际,0.84,9.09,10.88,2018-10-17
3202,002053,云南能投,0.14,-37.89,3.28,2018-10-17
1698,002057,中钢天源,0.28,-23.19,8.25,2018-10-17
998,002059,云南旅游,0.0,-93.45,0.16,2018-10-17
3091,002060,粤水电,0.07,26.58,3.07,2018-10-17
1862,002062,宏润建设,0.2,17.65,7.87,2018-10-17
2734,002066,瑞泰科技,0.04,8.95,1.97,2018-10-17
2987,002068,黑猫股份,0.6,37.95,13.44,2018-10-17
2696,002072,凯瑞德,-0.1,-451.85,-32.02,2018-10-17
1700,002073,软控股份,0.08,-12.09,1.69,2018-10-17
2527,002074,国轩高科,0.58,-20.55,7.71,2018-10-17
3459,002075,沙钢股份,0.45,168.62,25.7,2018-10-17
3414,002076,雪莱特,-0.07,-269.49,-5.2,2018-10-17
1750,002081,金螳螂,0.6,10.24,13.1,2018-10-17
665,002082,万邦德,0.22,-12.0,3.56,2018-10-17
2828,002083,孚日股份,0.36,1.25,10.29,2018-10-17
763,002084,海鸥住工,0.07,-51.45,2.15,2018-10-17
3424,002085,万丰奥威,0.36,12.5,12.84,2018-10-17
3080,002087,新野纺织,0.39,33.72,9.31,2018-10-17
1206,002089,新海宜,0.08,21.68,5.98,2018-10-17
3300,002092,中泰化学,0.94,-1.69,11.23,2018-10-17
1866,002094,青岛金王,0.31,-69.48,6.04,2018-10-17
3039,002096,南岭民爆,0.07,-25.97,1.23,2018-10-17
3110,002097,山河智能,0.38,150.4,8.89,2018-10-17
667,002098,浔兴股份,0.13,-44.93,3.83,2018-10-17
3472,002099,海翔药业,0.3,66.67,9.12,2018-10-17
1668,002103,广博股份,0.1,-37.5,3.02,2018-10-17
1518,002104,恒宝股份,0.16,-11.11,6.03,2018-10-17
2110,002105,信隆健康,0.01,-88.24,0.96,2018-10-17
218,002107,沃华医药,0.13,-23.53,8.07,2018-10-17
3307,002108,沧州明珠,0.22,-46.38,9.52,2018-10-17
2358,002110,三钢闽光,3.17,75.82,34.1,2018-10-17
1023,002111,威海广泰,0.47,11.9,6.69,2018-10-17
3406,002114,罗平锌电,-0.43,-386.67,-8.12,2018-10-17
436,002115,三维通信,0.31,507.99,7.8,2018-10-17
3238,002116,中国海诚,0.36,24.14,10.95,2018-10-17
3349,002117,东港股份,0.54,17.7,12.77,2018-10-17
2535,002118,紫鑫药业,0.26,116.67,7.67,2018-10-17
2277,002119,康强电子,0.23,-14.81,8.63,2018-10-17
2193,002120,韵达股份,1.19,22.68,23.83,2018-10-17
1703,002121,科陆电子,0.01,-93.05,0.41,2018-10-17
3219,002122,*ST天马,-0.17,-677.33,-4.44,2018-10-17
2571,002123,梦网集团,0.18,-26.4,3.21,2018-10-17
903,002124,天邦股份,0.1,-65.53,3.95,2018-10-17
2719,002125,湘潭电化,0.18,55.17,5.48,2018-10-17
2134,002126,银轮股份,0.35,9.38,8.18,2018-10-17
3259,002127,南极电商,0.18,12.5,14.04,2018-10-17
1652,002131,利欧股份,0.05,-37.5,3.11,2018-10-17
3383,002132,恒星科技,-0.01,-117.5,-0.63,2018-10-17
1672,002135,东南网架,0.14,40.0,3.79,2018-10-17
1934,002136,安纳达,0.31,-46.47,9.65,2018-10-17
1274,002137,麦达数字,0.13,26.48,4.44,2018-10-17
3365,002138,顺络电子,0.44,29.41,8.89,2018-10-17
1016,002139,拓邦股份,0.2,-23.08,9.45,2018-10-17
3098,002140,东华科技,0.27,21.27,5.91,2018-10-17
3401,002141,贤丰控股,0.01,31.37,0.58,2018-10-17
1029,002143,ST印纪,-0.37,-256.51,-13.54,2018-10-17
2462,002144,宏达高科,0.44,7.32,4.62,2018-10-17
2630,002145,中核钛白,0.2,2.87,10.02,2018-10-17
2656,002146,荣盛发展,0.86,34.38,13.04,2018-10-17
439,002147,ST新光,0.07,152.04,1.53,2018-10-17
1822,002148,北纬科技,0.07,-65.13,3.23,2018-10-17
3082,002151,北斗星通,0.1,-33.33,1.17,2018-10-17
1525,002152,广电运通,0.18,-33.33,4.99,2018-10-17
2114,002153,石基信息,0.3,15.38,4.64,2018-10-17
2418,002155,湖南黄金,0.15,-28.42,3.85,2018-10-17
1726,002156,通富微电,0.14,7.69,2.68,2018-10-17
3444,002157,正邦科技,0.02,-88.24,0.55,2018-10-17
3395,002158,汉钟精机,0.3,19.18,8.87,2018-10-17
2965,002159,三特索道,1.15,1050.0,16.13,2018-10-17
1408,002163,中航三鑫,-0.06,-0.0,-6.74,2018-10-17
2860,002164,宁波东力,-4.56,-3357.14,-177.49,2018-10-17
681,002167,东方锆业,0.03,0.0,1.48,2018-10-17
1288,002169,智光电气,0.11,0.76,2.99,2018-10-17
